timestamp nodeid seqnumber itemperature ivoltage humidity temperature PAR TSR
1163705548312 16 14 21,72 2,63 53,06 21,29 95 126
1163705564984 18 14 22,55 3 49,94 25,26 7 9
1163705566531 17 14 23,68 3 45,86 25,52 1 1
1163705581890 19 14 22,55 3 47,51 25 77 93
1163705585062 20 14 24,2 3 48,99 25,18 103 131
1163705647296 3 15 19,35 3 56,91 23,09 21 26
1163705679984 2 15 22,96 3 56,62 22,78 9 11
1163705691203 1 15 16,36 3 59,29 22,49 10 12
1163705701390 7 16 17,9 3 53,01 23,2 3 4
1163705776609 12 15 24,51 2,64 49,57 23,65 1 1
1163705781468 10 15 21,72 2,66 50,61 23,99 1 1
1163705788187 9 15 22,44 2,65 50,96 23,3 1 1
1163705790328 5 16 25,02 2,98 50,19 23 9 10
1163705803828 11 15 22,44 2,63 48,87 23,71 1 1
1163705811828 8 16 20,79 3 50,43 23,36 2 2
1163705812765 13 15 21,72 3 53,01 22,06 3 3
1163705820296 6 16 18,32 3 53,61 23,04 2 1
1163705826968 14 15 17,59 2,66 56,47 21,79 2 3
1163705841609 15 15 19,14 3 57,08 21,36 100 119
1163705848343 16 15 22,13 2,63 53,86 21,66 88 120
1163705864984 18 15 22,55 3 52,3 25,19 8 7
1163705866562 17 15 23,37 3 45,95 25,45 1 1
1163705881921 19 15 22,55 3 47,72 24,91 108 154
1163705885078 20 15 24,2 3 49,21 25,09 97 140
1163705947312 3 16 19,55 3 56,97 23,08 20 26
1163705980015 2 16 22,96 3 56,68 22,76 9 10
1163705991218 1 16 16,67 3 59,29 22,49 9 12
1163706001421 7 17 17,9 3 53,04 23,2 3 3
1163706076640 12 16 24,51 2,64 49,51 23,71 0 0
1163706081500 10 16 21,72 2,66 50,64 23,99 1 1
1163706088218 9 16 22,44 2,65 51,02 23,28 1 1
1163706090343 5 17 25,33 2,98 50,19 23 9 8
1163706103843 11 16 22,55 2,63 48,87 23,7 1 1
1163706111843 8 17 20,79 3 50,49 23,32 2 2
1163706112781 13 16 21,72 3 52,92 22,14 2 2
1163706120328 6 17 18,32 3 53,67 23,02 2 2
1163706126984 14 16 17,9 2,66 56,3 21,84 2 2
1163706141625 15 16 19,55 3 55,47 21,88 97 115
1163706148359 16 16 22,44 2,62 52,96 21,93 88 116
1163706165015 18 16 22,86 3 48,77 25,23 9 10
1163706166593 17 16 23,68 3 45,96 25,51 1 1
1163706181937 19 16 22,86 3 47,37 24,95 78 117
1163706185109 20 16 24,2 3 49,28 25,15 142 150
1163706247328 3 17 19,25 3 57,03 23,07 19 25
1163706280046 2 17 22,96 3 56,8 22,74 9 11
1163706291250 1 17 16,67 3 59,32 22,49 10 11
1163706301453 7 18 17,9 3 53,07 23,18 3 4
1163706376671 12 17 24,51 2,63 49,64 23,67 0 1
1163706381531 10 17 21,72 2,66 50,61 24 1 1
1163706388234 9 17 22,44 2,65 51,05 23,26 0 1
1163706390390 5 18 24,92 2,97 50,22 22,98 9 9
1163706403875 11 17 22,55 2,63 48,93 23,72 1 1
1163706411875 8 18 20,79 3 50,43 23,34 1 2
1163706412812 13 17 22,03 3 52,74 22,2 2 2
1163706420343 6 18 18,32 3 53,61 23,02 2 2
1163706427031 14 17 17,9 2,66 56,1 21,94 2 2
1163706441656 15 17 19,55 3 54,94 22,06 96 131
1163706448390 16 17 22,44 2,62 52,78 22 94 126
1163706465062 18 17 22,86 3 47,96 25,28 4 6
1163706466609 17 17 23,68 3 46,12 25,49 1 1
1163706481968 19 17 22,55 3 47,37 24,98 127 149
1163706485140 20 17 24,2 3 49,57 25,14 135 145
1163706547359 3 18 19,25 3 57,03 23,06 20 26
1163706580078 2 18 22,96 3 56,79 22,72 8 11
1163706591265 1 18 16,36 3 59,35 22,46 11 12
1163706601468 7 19 18,01 3 53,13 23,17 3 4
1163706676703 12 18 24,51 2,63 49,67 23,72 1 1
1163706681562 10 18 21,72 2,66 50,67 24,02 1 1
1163706688265 9 18 22,44 2,65 51,06 23,28 0 0
1163706690406 5 19 25,02 2,97 50,22 22,97 10 10
1163706703906 11 18 22,44 2,63 49 23,74 1 1
1163706711890 8 19 20,48 3 50,49 23,32 2 2
1163706712843 13 18 22,03 3 52,53 22,26 2 3
1163706720375 6 19 18,32 3 53,7 23,01 2 2
1163706727046 14 18 17,59 2,66 55,92 21,99 2 2
1163706741671 15 18 19,66 3 54,63 22,04 100 135
1163706748421 16 18 22,55 2,62 52,46 21,94 96 115
1163706765078 18 18 22,55 3 49,32 25,21 7 9
1163706766640 17 18 23,68 3 46,09 25,5 1 1
1163706782000 19 18 22,86 3 47,34 24,98 77 93
1163706785156 20 18 24,2 3 49,27 25,11 148 187
1163706847390 3 19 19,14 3 57,09 23,07 19 24
1163706880093 2 19 22,96 2,99 56,62 22,78 9 10
1163706891296 1 19 16,67 3 59,15 22,58 9 11
1163706901500 7 20 17,9 3 53,13 23,17 3 3
1163706976718 12 19 24,51 2,63 49,64 23,72 0 0
1163706981578 10 19 21,72 2,66 50,77 24 1 1
1163706988296 9 19 22,44 2,65 51,19 23,3 1 1
1163706990437 5 20 25,02 2,97 50,28 22,96 10 9
1163707003937 11 19 22,13 2,63 49,06 23,72 1 1
1163707011921 8 20 20,79 3 50,55 23,31 1 2
1163707012875 13 19 21,72 3 52,24 21,96 2 2
1163707020406 6 20 18,32 3 53,79 22,98 2 2
1163707027078 14 19 17,9 2,66 55,37 21,83 2 2
1163707041703 15 19 18,42 3 58,47 20,7 106 129
1163707048453 16 19 21,72 2,62 54,78 21,17 92 110
1163707065093 18 19 22,55 3 49,13 25,24 5 7
1163707066671 17 19 23,37 3 46,12 25,48 1 1
1163707082031 19 19 22,55 3 47,27 24,96 86 137
1163707085187 20 19 24,2 3 48,79 25,14 156 175
1163707147406 3 20 19,25 3 57,03 23,1 20 22
1163707180140 2 20 22,96 2,99 56,47 22,8 9 9
1163707191312 1 20 16,67 3 59,23 22,52 10 12
1163707201515 7 21 17,9 3 53,16 23,18 2 3
1163707276750 12 20 24,51 2,63 49,77 23,7 0 0
1163707281609 10 20 21,72 2,66 50,77 24,03 2 1
1163707288328 9 20 22,44 2,65 51,19 23,34 1 0
1163707290453 5 21 25,02 2,96 50,28 22,98 9 10
1163707303968 11 20 22,44 2,63 49,22 23,69 1 1
1163707311953 8 21 20,79 3 50,58 23,3 2 2
1163707312890 13 20 22,03 3 52,95 22,13 3 3
1163707320421 6 21 18,32 3 53,76 23 2 2
1163707327093 14 20 17,59 2,66 56,39 21,84 2 3
1163707341718 15 20 19,25 3 56,12 21,69 98 115
1163707348468 16 20 22,44 2,62 53,26 21,84 97 128
1163707365125 18 20 22,55 3 51,37 25,18 9 10
1163707366687 17 20 23,68 3 46,12 25,44 1 1
1163707382046 19 20 22,55 3 47,86 24,96 128 131
1163707385218 20 20 24,2 3 49,46 25,1 107 118
1163707447421 3 21 19,25 3 57,07 23,1 21 25
1163707480156 2 21 22,96 2,99 56,77 22,74 9 10
1163707491343 1 21 16,67 3 59,38 22,47 9 10
1163707501546 7 22 17,7 3 53,19 23,16 4 3
1163707576765 12 21 24,51 2,63 49,84 23,72 1 0
1163707581640 10 21 21,72 2,66 50,86 23,98 1 1
1163707588359 9 21 22,44 2,65 51,18 23,29 1 0
1163707590484 5 22 25,02 2,96 50,41 22,95 10 9
1163707603984 11 21 22,55 2,62 49,19 23,69 1 0
